=== patient_001 ===
Feature	T-Statistic	P-Value	-log10(P)
beta_intercept	26.939280	3.20e-159	158.49
beta_midband	27.680861	5.88e-168	167.23
gamma_slope	-11.141313	8.24e-29	28.08
gamma_intercept	10.046447	9.80e-24	23.01
gamma_midband	7.812484	5.67e-15	14.25

=== patient_038 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-47.507264	0.00e+00	inf
delta_intercept	53.026901	0.00e+00	inf
delta_midband	56.224898	0.00e+00	inf
theta_slope	-34.927365	8.32e-266	265.08
theta_intercept	42.532348	0.00e+00	inf
theta_midband	47.878760	0.00e+00	inf
alpha_slope	-21.486886	3.36e-102	101.47
alpha_intercept	32.187591	3.01e-226	225.52
alpha_midband	37.116613	1.11e-299	298.95
beta_slope	-35.114248	1.28e-268	267.89
beta_intercept	29.001419	3.15e-184	183.50
beta_midband	16.159795	1.13e-58	57.95
gamma_slope	-2.197113	2.80e-02	1.55
gamma_intercept	-0.659925	5.09e-01	0.29
gamma_midband	-8.243101	1.70e-16	15.77

=== patient_039 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-110.865269	0.00e+00	inf
delta_intercept	116.041033	0.00e+00	inf
delta_midband	111.569537	0.00e+00	inf
theta_slope	-28.855243	3.46e-182	181.46
theta_intercept	43.932882	0.00e+00	inf
theta_midband	53.302824	0.00e+00	inf
alpha_slope	-28.317054	1.46e-175	174.84
alpha_intercept	36.734071	4.69e-293	292.33
alpha_midband	40.585513	0.00e+00	inf
beta_slope	-23.310742	8.36e-120	119.08
beta_intercept	19.077906	5.74e-81	80.24
beta_midband	12.480150	1.03e-35	34.99
gamma_slope	0.088061	9.30e-01	0.03
gamma_intercept	7.892862	2.99e-15	14.52
gamma_midband	12.473347	1.12e-35	34.95

=== patient_040 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-31.020001	2.60e-210	209.59
delta_intercept	28.545297	1.55e-178	177.81
delta_midband	24.206578	4.29e-129	128.37
theta_slope	-8.739345	2.38e-18	17.62
theta_intercept	5.483960	4.17e-08	7.38
theta_midband	3.515468	4.39e-04	3.36
alpha_slope	-2.046973	4.07e-02	1.39
alpha_intercept	1.688655	9.13e-02	1.04
alpha_midband	1.105983	2.69e-01	0.57
beta_slope	-0.369195	7.12e-01	0.15
beta_intercept	-0.059640	9.52e-01	0.02
beta_midband	-0.482071	6.30e-01	0.20
gamma_slope	0.016181	9.87e-01	0.01
gamma_intercept	-0.377881	7.06e-01	0.15
gamma_midband	-0.744299	4.57e-01	0.34

=== patient_041 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-8.192772	2.57e-16	15.59
delta_intercept	10.201652	1.98e-24	23.70
delta_midband	12.107153	9.99e-34	33.00
theta_slope	-10.038588	1.05e-23	22.98
theta_intercept	14.412407	4.60e-47	46.34
theta_midband	19.110101	2.52e-81	80.60
alpha_slope	-5.427658	5.72e-08	7.24
alpha_intercept	12.487011	9.11e-36	35.04
alpha_midband	25.199954	7.15e-140	139.15
beta_slope	-30.718191	1.16e-206	205.93
beta_intercept	28.828504	2.54e-182	181.60
beta_midband	20.958491	2.07e-97	96.68
gamma_slope	24.259369	8.66e-130	129.06
gamma_intercept	-24.763689	3.79e-135	134.42
gamma_midband	-24.868662	2.81e-136	135.55

=== patient_044 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-158.280713	0.00e+00	inf
delta_intercept	156.071409	0.00e+00	inf
delta_midband	150.306349	0.00e+00	inf
theta_slope	-18.215930	6.09e-74	73.22
theta_intercept	20.992596	1.71e-97	96.77
theta_midband	24.026175	5.85e-127	126.23
alpha_slope	-1.229279	2.19e-01	0.66
alpha_intercept	12.151123	6.20e-34	33.21
alpha_midband	27.298972	4.28e-163	162.37
beta_slope	-26.248143	5.29e-151	150.28
beta_intercept	24.883818	5.40e-136	135.27
beta_midband	17.743357	2.93e-70	69.53
gamma_slope	8.209490	2.26e-16	15.65
gamma_intercept	10.093664	6.16e-24	23.21
gamma_midband	14.595545	3.62e-48	47.44

=== patient_047 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-119.904288	0.00e+00	inf
delta_intercept	135.031069	0.00e+00	inf
delta_midband	140.306827	0.00e+00	inf
theta_slope	-86.369725	0.00e+00	inf
theta_intercept	92.714368	0.00e+00	inf
theta_midband	95.456668	0.00e+00	inf
alpha_slope	-37.952712	0.00e+00	inf
alpha_intercept	53.352813	0.00e+00	inf
alpha_midband	74.591564	0.00e+00	inf
beta_slope	-57.615967	0.00e+00	inf
beta_intercept	70.943549	0.00e+00	inf
beta_midband	60.506487	0.00e+00	inf
gamma_slope	-35.993681	6.26e-281	280.20
gamma_intercept	36.362173	1.31e-286	285.88
gamma_midband	27.961781	4.93e-171	170.31

=== patient_050 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-16.468923	6.81e-61	60.17
delta_intercept	18.505865	2.19e-76	75.66
delta_midband	18.208203	5.19e-74	73.28
theta_slope	12.553446	3.94e-36	35.40
theta_intercept	1.494129	1.35e-01	0.87
theta_midband	12.475671	1.05e-35	34.98
alpha_slope	-24.104718	3.59e-128	127.44
alpha_intercept	22.208083	4.05e-109	108.39
alpha_midband	11.872234	1.70e-32	31.77
beta_slope	-13.859562	1.17e-43	42.93
beta_intercept	5.611454	2.01e-08	7.70
beta_midband	-1.880789	6.00e-02	1.22
gamma_slope	6.477908	9.32e-11	10.03
gamma_intercept	-6.666711	2.62e-11	10.58
gamma_midband	-6.781598	1.19e-11	10.92

=== patient_051 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-36.983655	5.01e-297	296.30
delta_intercept	33.081152	1.86e-238	237.73
delta_midband	26.876908	1.90e-158	157.72
theta_slope	-17.836363	4.98e-71	70.30
theta_intercept	14.574844	4.64e-48	47.33
theta_midband	7.901095	2.80e-15	14.55
alpha_slope	-4.508461	6.54e-06	5.18
alpha_intercept	4.779763	1.76e-06	5.75
alpha_midband	4.927992	8.32e-07	6.08
beta_slope	-1.571426	1.16e-01	0.94
beta_intercept	1.747823	8.05e-02	1.09
beta_midband	1.903773	5.69e-02	1.24
gamma_slope	0.247390	8.05e-01	0.09
gamma_intercept	1.920734	5.48e-02	1.26
gamma_midband	4.702174	2.58e-06	5.59

=== patient_052 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-15.260603	1.70e-52	51.77
delta_intercept	13.077761	4.90e-39	38.31
delta_midband	9.737005	2.17e-22	21.66
theta_slope	3.896577	9.77e-05	4.01
theta_intercept	-4.409181	1.04e-05	4.98
theta_midband	-4.766878	1.87e-06	5.73
alpha_slope	1.380164	1.68e-01	0.78
alpha_intercept	-2.797260	5.16e-03	2.29
alpha_midband	-1.766974	7.72e-02	1.11
beta_slope	-2.317722	2.05e-02	1.69
beta_intercept	2.495857	1.26e-02	1.90
beta_midband	2.713969	6.65e-03	2.18
gamma_slope	-35.114458	8.40e-268	267.08
gamma_intercept	34.787802	6.34e-263	262.20
gamma_midband	33.735421	1.65e-247	246.78

=== patient_054 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-17.617195	2.48e-69	68.61
delta_intercept	18.665983	1.38e-77	76.86
delta_midband	18.536593	1.53e-76	75.82
theta_slope	-0.160778	8.72e-01	0.06
theta_intercept	-1.035245	3.01e-01	0.52
theta_midband	-2.648770	8.08e-03	2.09
alpha_slope	-1.064705	2.87e-01	0.54
alpha_intercept	1.362775	1.73e-01	0.76
alpha_midband	0.518124	6.04e-01	0.22
beta_slope	-4.575742	4.75e-06	5.32
beta_intercept	5.760901	8.40e-09	8.08
beta_midband	8.239029	1.76e-16	15.75
gamma_slope	2.960614	3.07e-03	2.51
gamma_intercept	-3.033310	2.42e-03	2.62
gamma_midband	-3.260134	1.11e-03	2.95

=== patient_062 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-266.710032	0.00e+00	inf
delta_intercept	242.039393	0.00e+00	inf
delta_midband	197.349713	0.00e+00	inf
theta_slope	-66.822807	0.00e+00	inf
theta_intercept	55.925259	0.00e+00	inf
theta_midband	38.847760	0.00e+00	inf
alpha_slope	-63.251883	0.00e+00	inf
alpha_intercept	34.984315	1.33e-266	265.87
alpha_midband	11.411435	3.82e-30	29.42
beta_slope	-3.984294	6.77e-05	4.17
beta_intercept	0.267337	7.89e-01	0.10
beta_midband	-2.101246	3.56e-02	1.45
gamma_slope	-0.255780	7.98e-01	0.10
gamma_intercept	-2.753260	5.90e-03	2.23
gamma_midband	-3.978242	6.95e-05	4.16

=== patient_063 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-1.798967	7.20e-02	1.14
delta_intercept	0.334626	7.38e-01	0.13
delta_midband	-1.457011	1.45e-01	0.84
theta_slope	3.641058	2.72e-04	3.57
theta_intercept	-5.249230	1.53e-07	6.81
theta_midband	-6.310514	2.80e-10	9.55
alpha_slope	-4.454638	8.42e-06	5.07
alpha_intercept	4.021088	5.80e-05	4.24
alpha_midband	-0.606024	5.45e-01	0.26
beta_slope	1.482029	1.38e-01	0.86
beta_intercept	-2.854394	4.31e-03	2.37
beta_midband	-4.599390	4.24e-06	5.37
gamma_slope	5.780931	7.46e-09	8.13
gamma_intercept	-6.400715	1.56e-10	9.81
gamma_midband	-6.698207	2.13e-11	10.67

=== patient_064 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-5.205762	1.94e-07	6.71
delta_intercept	8.064541	7.42e-16	15.13
delta_midband	10.186637	2.33e-24	23.63
theta_slope	6.873756	6.29e-12	11.20
theta_intercept	12.874540	6.65e-38	37.18
theta_midband	26.087398	1.40e-149	148.85
alpha_slope	-17.929890	8.65e-72	71.06
alpha_intercept	17.495527	1.90e-68	67.72
alpha_midband	10.884443	1.41e-27	26.85
beta_slope	-6.299543	3.00e-10	9.52
beta_intercept	4.747713	2.06e-06	5.69
beta_midband	2.486263	1.29e-02	1.89
gamma_slope	-0.614241	5.39e-01	0.27
gamma_intercept	0.876896	3.81e-01	0.42
gamma_midband	1.150729	2.50e-01	0.60

=== patient_066 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	13.001438	1.24e-38	37.91
delta_intercept	1.614936	1.06e-01	0.97
delta_midband	17.383865	1.22e-67	66.91
theta_slope	36.550711	1.53e-291	290.81
theta_intercept	-2.969333	2.98e-03	2.53
theta_midband	42.565647	0.00e+00	inf
alpha_slope	1.046034	2.96e-01	0.53
alpha_intercept	18.500219	2.37e-76	75.62
alpha_midband	34.783393	2.59e-264	263.59
beta_slope	-32.674706	1.44e-233	232.84
beta_intercept	18.201219	5.78e-74	73.24
beta_midband	2.977995	2.90e-03	2.54
gamma_slope	11.118502	1.04e-28	27.98
gamma_intercept	-11.279424	1.69e-29	28.77
gamma_midband	-10.266829	1.01e-24	24.00

=== patient_067 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-38.837356	0.00e+00	inf
delta_intercept	40.926687	0.00e+00	inf
delta_midband	40.051355	0.00e+00	inf
theta_slope	-7.657201	1.92e-14	13.72
theta_intercept	11.707827	1.23e-31	30.91
theta_midband	14.954839	1.67e-50	49.78
alpha_slope	-8.440580	3.20e-17	16.49
alpha_intercept	9.558361	1.23e-21	20.91
alpha_midband	8.167323	3.19e-16	15.50
beta_slope	-6.785718	1.16e-11	10.93
beta_intercept	5.878201	4.16e-09	8.38
beta_midband	3.958526	7.55e-05	4.12
gamma_slope	2.627447	8.60e-03	2.07
gamma_intercept	-0.961051	3.37e-01	0.47
gamma_midband	3.105897	1.90e-03	2.72

=== patient_068 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	2.441231	1.46e-02	1.83
delta_intercept	-2.571177	1.01e-02	1.99
delta_midband	-2.550475	1.08e-02	1.97
theta_slope	2.070764	3.84e-02	1.42
theta_intercept	-1.690653	9.09e-02	1.04
theta_midband	-0.764052	4.45e-01	0.35
alpha_slope	-0.759813	4.47e-01	0.35
alpha_intercept	0.488408	6.25e-01	0.20
alpha_midband	-0.216727	8.28e-01	0.08
beta_slope	0.461106	6.45e-01	0.19
beta_intercept	-0.600683	5.48e-01	0.26
beta_midband	-0.704586	4.81e-01	0.32
